id,event_timestamp,device_type,session_id,visitor_id,item_id,redirection_source,is_add_to_cart,is_order_placed
29839,11/15/2020 15:11,android,B000078,I7099,B17543,GOOGLE,,TRUE
30504,11/15/2020 15:27,android,B000078,I7099,B19304,LinkedIn,,TRUE
30334,11/15/2020 15:23,android,B000078,I7099,B29093,Youtube,,
30385,11/15/2020 15:24,android,B000078,I7099,D8142,google,TRUE,
30503,11/15/2020 15:27,android,B000078,I7099,D8142,FACEBOOK,TRUE,TRUE
30663,11/15/2020 15:30,android,B000078,I7099,D8142,YOUTUBE,TRUE,
30702,11/15/2020 15:30,android,B000078,I7099,D8142,LinkedIn,,
30284,11/15/2020 15:21,android,B000078,I7099,E9001,linkedin,,TRUE
30325,11/15/2020 15:22,android,B000078,I7099,E9001,youtube,TRUE,
30240,11/15/2020 15:20,android,B000078,I7099,J1317,google,TRUE,TRUE
13931,11/15/2020 9:07,android,B000092,C2146,H6156,facebook,,
42214,11/15/2020 19:35,android,B000138,E2296,B04035,Google,TRUE,
42316,11/15/2020 19:36,android,B000138,E2296,B04035,Youtube,TRUE,
42990,11/15/2020 19:46,android,B000138,E2296,B04035,youtube,TRUE,TRUE
43005,11/15/2020 19:46,android,B000138,E2296,B04035,google,,TRUE
43273,11/15/2020 19:51,android,B000138,E2296,B04035,youtube,,TRUE
43185,11/15/2020 19:49,android,B000138,E2296,B907,Youtube,,
23344,11/15/2020 12:21,android,B000227,B4178,I4026,youtube,TRUE,TRUE
27947,11/15/2020 14:25,android,B000271,I9120,E9856,Youtube,,
41726,11/15/2020 19:27,android,B000283,F079,B04035,facebook,,
41723,11/15/2020 19:27,android,B000283,F079,B13763,google,,TRUE
35508,11/15/2020 17:18,android,B0003,H7774,I3311,FACEBOOK,,TRUE
34986,11/15/2020 17:07,android,B0003,H7774,I860,LinkedIn,,TRUE
29817,11/15/2020 15:11,android,B000430,G0191,B1986,Google,TRUE,
29890,11/15/2020 15:12,android,B000430,G0191,B21210,Google,TRUE,TRUE
29770,11/15/2020 15:10,android,B000430,G0191,B7412,youtube,,
29931,11/15/2020 15:13,android,B000430,G0191,B7412,Google,,
29994,11/15/2020 15:14,android,B000430,G0191,J6911,google,,TRUE
24479,11/15/2020 12:54,android,B000450,F1681,E2809,FACEBOOK,,
33203,11/15/2020 16:24,android,B000467,G0923,E7455,facebook,TRUE,TRUE
45030,11/15/2020 20:25,android,B000469,H6810,B18262,google,TRUE,
23786,11/15/2020 12:33,android,B000516,I2161,B03502,youtube,TRUE,TRUE
34174,11/15/2020 16:47,android,B000669,F8535,B76,facebook,TRUE,TRUE
35013,11/15/2020 17:07,android,B000669,F8535,F2518,facebook,,
