id,event_timestamp,device_type,session_id,visitor_id,item_id,redirection_source,is_add_to_cart,is_order_placed
36115,2020-11-15T17:33:00.000+05:30,android,G34693,B0050,B741,google,,
30093,2020-11-15T15:17:00.000+05:30,android,D19212,B0536,G6601,youtube,,
45310,2020-11-15T20:30:00.000+05:30,android,H18470,B1856,H1406,google,,
7393,2020-11-15T05:11:00.000+05:30,android,G85322,B2655,C1573,linkedin,true,true
39454,2020-11-15T18:42:00.000+05:30,android,J04862,B2754,B13763,google,true,
42438,2020-11-15T19:38:00.000+05:30,android,E125,B4076,B26865,youtube,,
36679,2020-11-15T17:47:00.000+05:30,android,B94842,B4421,B20405,facebook,true,
12766,2020-11-15T08:43:00.000+05:30,android,F10911,B4797,G4686,google,true,true
47788,2020-11-15T21:05:00.000+05:30,android,C11609,B5145,E1609,youtube,true,true
21952,2020-11-15T11:48:00.000+05:30,android,I70614,B5170,B14726,facebook,true,
35645,2020-11-15T17:22:00.000+05:30,android,J10406,B600,J7873,google,true,
11058,2020-11-15T07:59:00.000+05:30,android,B83751,B6136,B12256,linkedin,true,
12642,2020-11-15T08:40:00.000+05:30,android,H2157,B6509,H5754,google,,true
23894,2020-11-15T12:36:00.000+05:30,android,B19615,B6746,B0379,google,true,
42832,2020-11-15T19:43:00.000+05:30,android,B40470,B7571,B5757,linkedin,true,
25795,2020-11-15T13:31:00.000+05:30,android,F9552,B7571,J7090,facebook,,
14519,2020-11-15T09:18:00.000+05:30,android,F48076,B8439,B0379,facebook,true,
44248,2020-11-15T20:09:00.000+05:30,android,B055864,B9259,B13763,google,,
15419,2020-11-15T09:36:00.000+05:30,android,C89261,B9687,E6158,youtube,,true
12909,2020-11-15T08:46:00.000+05:30,android,I03718,B9809,D1327,youtube,,
266,2020-11-15T00:03:00.000+05:30,android,G2871,B9913,D575,facebook,,
11727,2020-11-15T08:16:00.000+05:30,android,I54565,B9991,I9262,google,true,
36321,2020-11-15T17:38:00.000+05:30,android,B84716,C0003,H7918,google,,true
616,2020-11-15T00:09:00.000+05:30,android,J3401,C0130,J0281,youtube,,
3130,2020-11-15T00:53:00.000+05:30,android,B12430,C0243,B21033,facebook,,
32441,2020-11-15T16:04:00.000+05:30,android,B088320,C0449,B03394,linkedin,true,true
23250,2020-11-15T12:18:00.000+05:30,android,F2293,C0885,I3108,youtube,true,
19103,2020-11-15T10:45:00.000+05:30,android,B052451,C1601,B10374,google,,
46329,2020-11-15T20:46:00.000+05:30,android,F62379,C1815,B27603,linkedin,true,true
39356,2020-11-15T18:40:00.000+05:30,android,G20032,C2800,I860,youtube,,true
10345,2020-11-15T07:37:00.000+05:30,android,G77655,C4501,I3426,youtube,,
40979,2020-11-15T19:14:00.000+05:30,android,H45171,C4865,I3358,google,,
35201,2020-11-15T17:12:00.000+05:30,android,B030648,C5045,B1848,facebook,true,
21189,2020-11-15T11:31:00.000+05:30,android,I51329,C5423,B20283,youtube,,true
22152,2020-11-15T11:52:00.000+05:30,android,F30666,C5447,F1629,youtube,,
44071,2020-11-15T20:05:00.000+05:30,android,C38389,C5533,B14629,youtube,true,
44345,2020-11-15T20:11:00.000+05:30,android,E8555,C6150,H9290,google,,
17578,2020-11-15T10:15:00.000+05:30,android,E97488,C6218,J7618,youtube,,
14556,2020-11-15T09:18:00.000+05:30,android,D23555,C6693,D1935,youtube,true,
38645,2020-11-15T18:25:00.000+05:30,android,J41319,C6747,B16664,google,,true
37182,2020-11-15T17:59:00.000+05:30,android,F15104,C7186,D4394,youtube,true,
1440,2020-11-15T00:22:00.000+05:30,android,I42421,C7275,B12680,youtube,true,
49981,2020-11-15T21:39:00.000+05:30,android,C47771,C7573,E4296,google,,
1663,2020-11-15T00:25:00.000+05:30,android,D99994,C8605,C0260,google,true,
4031,2020-11-15T01:15:00.000+05:30,android,E13703,C9150,D7667,youtube,true,true
20073,2020-11-15T11:06:00.000+05:30,android,G62373,C9798,B20699,facebook,,
18335,2020-11-15T10:28:00.000+05:30,android,H88360,C9941,B26096,youtube,,
46168,2020-11-15T20:44:00.000+05:30,android,J1430,D0403,B18218,linkedin,true,true
34569,2020-11-15T16:57:00.000+05:30,android,B077487,D1446,J240,facebook,true,
34154,2020-11-15T16:46:00.000+05:30,android,F18802,D1841,E4296,youtube,true,
32280,2020-11-15T16:01:00.000+05:30,android,H18481,D2201,B13763,google,true,
44496,2020-11-15T20:14:00.000+05:30,android,H01279,D2525,B13763,youtube,true,
42171,2020-11-15T19:34:00.000+05:30,android,B05401,D3546,B13763,youtube,,
17698,2020-11-15T10:17:00.000+05:30,android,B93572,D357,C5578,facebook,true,
9439,2020-11-15T07:09:00.000+05:30,android,F51209,D461,H8243,youtube,,true
9671,2020-11-15T07:16:00.000+05:30,android,F51209,D461,I6672,youtube,,
34170,2020-11-15T16:46:00.000+05:30,android,G10550,D4746,D4687,google,,true
20841,2020-11-15T11:23:00.000+05:30,android,I53301,D4768,D8922,youtube,true,
26219,2020-11-15T13:41:00.000+05:30,android,B037505,D528,B1221,youtube,,
30085,2020-11-15T15:16:00.000+05:30,android,E37882,D5456,F3915,youtube,true,true
45052,2020-11-15T20:25:00.000+05:30,android,C10360,D5476,C677,youtube,,true
23233,2020-11-15T12:18:00.000+05:30,android,J75805,D5518,C7894,linkedin,,
3150,2020-11-15T00:53:00.000+05:30,android,E37288,D5937,B9353,youtube,,true
29469,2020-11-15T15:03:00.000+05:30,android,I21839,D6749,B28213,facebook,,true
